ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
26227_at	PHGDH	Hs.487296	715.8	660.3	445.5	549.2	403.9	
26228_at	STAP1	Hs.435579	10.5	15.7	14.8	8.7	15.3	
26229_at	B3GAT3	Hs.502759	933.7	1007.5	1258.9	939.9	1008.0	
2622_at	GAS8	Hs.431792	272.4	307.0	275.1	264.3	267.9	
26230_at	TIAM2	Hs.586279	49.0	74.9	86.6	76.7	58.4	
26231_at	LRRC29	Hs.461000	79.3	79.6	51.7	81.1	103.3	
26232_at	FBXO2	Hs.132753; Hs.556006	310.1	326.8	237.7	112.5	173.6	
26233_at	FBXL6	Hs.12271	57.4	64.3	108.8	101.9	93.1	
26234_at	FBXL5	Hs.643433	1096.9	944.3	1285.0	1302.8	1271.4	
26235_at	FBXL4	Hs.536850	343.4	319.9	473.4	394.4	308.9	
26239_at	LCE2B	Hs.234766	5.3	4.6	4.5	4.8	4.8	
2623_at	GATA1	Hs.765	17.8	22.8	21.2	21.9	21.3	
26240_at	FAM50B	Hs.140944	417.3	437.1	517.8	411.0	342.0	
26245_at	OR2M4	Hs.381309	4.5	4.2	5.5	6.2	4.8	
26246_at	OR2L2	Hs.684888	5.4	5.4	5.0	5.5	5.7	
26247_at	OR2L1P	Hs.684887	7.7	7.3	8.1	8.7	8.7	
26248_at	OR2K2	Hs.381312	7.0	7.4	8.8	8.4	5.9	
26249_at	KLHL3	Hs.655084	122.4	126.2	117.5	114.3	128.0	
2624_at	GATA2	Hs.367725	122.6	112.9	84.9	114.9	121.8	
26251_at	KCNG2	Hs.247905	10.2	12.0	9.7	10.2	11.4	
26253_at	CLEC4E	Hs.236516	60.8	75.5	25.3	46.2	27.5	
26254_at	OPTC	Hs.632468	11.2	13.0	15.4	15.6	9.9	
26255_at	PTTG3P	Hs.647156	5.2	4.3	5.7	4.8	5.6	
26256_at	CABYR	Hs.511983	94.2	105.1	99.4	96.3	79.7	
26257_at	NKX2-8	Hs.234763	33.3	38.5	47.7	28.8	40.9	
26258_at	PLDN	Hs.719102	105.6	97.9	89.6	83.9	97.6	
2625_at	GATA3	Hs.524134	49.9	24.1	31.7	103.2	93.9	
26260_at	FBXO25	Hs.438454	565.0	516.0	363.7	472.7	451.8	
26261_at	FBXO24	Hs.283764	58.7	85.5	84.2	61.0	76.6	
26262_at	TSPAN17	Hs.532129	431.5	438.9	505.0	609.6	558.5	
26263_at	FBXO22	Hs.591115	67.3	70.1	62.3	62.9	78.9	
26266_at	SLC13A4	Hs.200022; Hs.490241	43.6	49.7	49.9	54.1	47.6	
26267_at	FBXO10	Hs.709527	14.0	13.6	14.0	11.0	18.0	
26268_at	FBXO9	Hs.216653	372.9	387.9	447.0	410.5	443.8	
26269_at	FBXO8	Hs.76917	295.2	189.7	288.4	243.7	287.8	
2626_at	GATA4	Hs.243987	8.9	9.6	9.0	10.3	8.9	
26270_at	FBXO6	Hs.464419	214.9	222.6	135.9	227.2	161.1	
26271_at	FBXO5	Hs.520506	86.6	65.0	59.1	74.0	77.7	
26272_at	FBXO4	Hs.165575	17.3	13.1	20.9	19.4	20.8	
26273_at	FBXO3	Hs.406787	393.4	308.6	498.5	440.0	456.1	
26275_at	HIBCH	Hs.656685	698.9	843.3	955.0	920.9	823.9	
26276_at	VPS33B	Hs.718508	641.2	626.0	703.0	738.2	595.9	
26277_at	TINF2	Hs.496191	746.8	780.7	559.7	596.5	678.9	
26278_at	SACS	Hs.159492	877.8	847.3	995.2	831.4	987.9	
26279_at	PLA2G2D	Hs.189507	8.1	6.6	6.0	5.6	5.6	
2627_at	GATA6	Hs.514746	489.5	246.5	278.1	368.8	498.9	
26280_at	IL1RAPL2	Hs.675519	5.5	6.0	6.1	6.4	6.8	
26281_at	FGF20	Hs.199905	20.3	30.7	24.0	20.2	20.8	
26284_at	ERAL1	Hs.3426	571.3	568.6	531.3	597.2	621.4	
26285_at	CLDN17	Hs.258589	10.9	10.7	11.2	11.9	14.1	
26286_at	ARFGAP3	Hs.162877	1294.8	1186.1	1214.7	1182.8	1204.9	
